CellID,ClusterID,ClusterName
1,0,eL2/3
2,-1,NA
3,-1,NA
4,-1,NA
5,3,Astro
6,-1,NA
7,2,eL5
8,6,eL4
9,2,eL2/3
10,1,eL2/3
11,3,eL2/3
12,-1,NA
13,-1,NA
14,1,eL2/3
15,11,eL4
16,-1,NA
17,-1,NA
18,3,Oligo
19,6,eL5
20,-1,NA
21,1,eL6
22,2,eL6
23,3,eL6
24,2,eL4
25,5,Endo
26,-1,NA
27,7,eL5
28,0,Oligo
29,1,eL5
30,-1,NA
31,3,eL2/3
32,3,eL2/3
33,6,eL6
34,7,eL6
35,0,eL2/3
36,-1,NA
37,1,Astro
38,1,eL2/3
39,1,Oligo
40,1,eL4
41,0,eL6
42,-1,NA
43,-1,NA
44,1,eL5
45,1,eL2/3
46,0,eL2/3
47,3,Smc
48,5,Endo
49,5,eL6
50,4,eL5
51,3,SST
52,1,eL4
53,3,Endo
54,-1,NA
55,0,eL4
56,1,eL4
57,2,Smc
58,2,Oligo
59,2,eL5
60,1,eL4
61,11,eL6
62,2,eL5
63,10,eL5
64,3,Oligo
65,0,Astro
66,-1,NA
67,1,eL6
68,1,Smc
69,2,eL2/3
70,-1,NA
71,2,eL5
72,0,eL4
73,1,Endo
74,0,eL5
75,1,PV
76,-1,NA
77,0,eL5
78,3,eL4
79,8,eL2/3
80,-1,NA
81,0,eL2/3
82,-1,NA
83,3,eL2/3
84,0,eL4
85,1,eL2/3
86,-1,NA
87,6,eL4
88,2,eL4
89,2,eL4
90,1,Astro
91,1,eL4
92,2,Astro
93,-1,NA
94,5,Oligo
95,1,Astro
96,6,eL5
97,3,eL2/3
98,-1,NA
99,3,eL5
100,3,Endo
101,7,eL4
102,4,eL4
103,-1,NA
104,1,eL6
105,1,eL6
106,3,Endo
107,2,eL5
108,-1,NA
109,3,Astro
110,1,eL2/3
111,-1,NA
112,6,eL6
113,4,Smc
114,-1,NA
115,1,Astro
116,0,eL4
117,6,eL2/3
118,0,Oligo
119,-1,NA
120,-1,NA
121,2,Astro
122,7,eL4
123,0,eL4
124,1,eL2/3
125,9,eL5
126,1,eL2/3
127,7,VIP
128,2,eL6
129,3,SST
130,3,eL4
131,7,PV
132,3,eL5
133,1,eL4
134,5,eL2/3
135,1,eL4
136,3,eL4
137,5,eL4
138,6,Endo
139,0,Astro
140,0,eL6
141,1,eL6
142,9,eL6
143,-1,NA
144,3,Endo
145,7,eL2/3
146,3,eL2/3
147,2,eL6
148,5,eL4
149,1,eL6
150,11,eL5
151,4,SST
152,2,eL2/3
153,3,eL2/3
154,4,eL6
155,7,eL4
156,7,eL4
157,5,eL5
158,7,eL4
159,-1,NA
160,7,eL4
161,1,eL2/3
162,1,eL2/3
163,3,PV
164,-1,NA
165,0,eL6
166,0,eL6
167,0,eL5
168,2,Oligo
169,-1,NA
170,1,eL6
171,1,Smc
172,3,PV
173,4,PV
174,2,Smc
175,3,eL6
176,6,eL4
177,0,eL4
178,1,eL6
179,3,eL2/3
180,1,SST
181,-1,NA
182,-1,NA
183,2,eL6
184,1,eL4
185,0,eL6
186,2,eL4
187,6,VIP
188,3,eL2/3
189,4,eL2/3
190,-1,NA
191,3,eL4
192,5,Oligo
193,1,eL5
194,1,eL2/3
195,7,VIP
196,0,eL6
197,1,eL4
198,0,eL5
199,3,eL4
200,-1,NA
201,1,eL5
202,0,PV
203,0,eL2/3
204,2,Oligo
205,0,Oligo
206,2,eL6
207,3,Astro
208,7,eL5
209,2,eL2/3
210,2,eL2/3
211,2,eL4
212,4,SST
213,-1,NA
214,8,eL5
215,1,eL4
216,-1,NA
217,5,eL2/3
218,5,Smc
219,1,eL6
220,1,eL4
221,0,PV
222,-1,NA
223,7,Endo
224,-1,NA
225,7,eL4
226,-1,NA
227,3,Oligo
228,3,eL2/3
229,-1,NA
230,2,Smc
231,0,VIP
232,0,eL4
233,2,eL5
234,0,VIP
235,9,eL6
236,0,eL2/3
237,-1,NA
238,1,eL5
239,0,eL6
240,3,eL4
241,0,Endo
242,7,Astro
243,-1,NA
244,2,eL6
245,4,eL4
246,8,eL2/3
247,0,eL2/3
248,0,eL2/3
249,7,eL5
250,1,eL5
251,3,eL2/3
252,2,eL4
253,2,PV
254,1,eL4
255,7,SST
256,3,SST
257,7,PV
258,2,Endo
259,3,SST
260,5,Smc
261,3,eL4
262,0,NPY
263,7,eL4
264,3,PV
265,0,Astro
266,0,eL2/3
267,10,eL6
268,1,eL4
269,-1,NA
270,3,Endo
271,5,eL5
272,-1,NA
273,3,eL5
274,1,eL2/3
275,-1,NA
276,1,eL4
277,0,eL2/3
278,2,eL4
279,0,eL4
280,1,eL4
281,2,eL2/3
282,-1,NA
283,0,eL2/3
284,6,Oligo
285,2,eL6
286,3,eL2/3
287,1,Astro
288,1,eL5
289,11,Oligo
290,-1,NA
291,3,Astro
292,-1,NA
293,9,Oligo
294,0,eL6
295,3,Oligo
296,4,eL5
297,0,Astro
298,0,eL4
299,0,eL6
300,4,eL2/3
301,0,Oligo
302,2,eL5
303,3,Endo
304,1,PV
305,3,eL4
306,2,eL4
307,-1,NA
308,0,eL6
309,9,eL2/3
310,-1,NA
311,3,eL5
312,1,Astro
313,2,Astro
314,3,Endo
315,0,SST
316,0,NPY
317,1,eL6
318,3,eL4
319,5,PV
320,3,eL6
321,3,eL2/3
322,1,Oligo
323,-1,NA
324,1,eL6
325,6,eL5
326,7,eL2/3
327,2,Endo
328,9,eL6
329,3,eL6
330,-1,NA
331,9,eL2/3
332,1,SST
333,6,Endo
334,1,NPY
335,3,eL6
336,1,eL6
337,3,eL2/3
338,-1,NA
339,3,eL5
340,3,eL4
341,1,eL4
342,7,Astro
343,3,Astro
344,0,PV
345,6,eL4
346,3,eL6
347,6,eL6
348,2,Endo
349,-1,NA
350,4,eL4
351,0,Oligo
352,2,eL5
353,3,eL4
354,6,Astro
355,1,Smc
356,1,eL6
357,0,Astro
358,-1,NA
359,6,Oligo
360,0,eL4
361,2,eL2/3
362,4,eL4
363,11,eL6
364,0,eL4
365,2,eL6
366,5,eL4
367,10,eL5
368,5,VIP
369,1,Smc
370,9,eL5
371,0,eL6
372,8,eL2/3
373,6,SST
374,1,eL6
375,7,eL4
376,3,eL2/3
377,2,eL5
378,1,NPY
379,2,eL4
380,3,eL2/3
381,2,eL2/3
382,0,SST
383,6,Oligo
384,1,eL6
385,10,Astro
386,0,Astro
387,1,eL2/3
